OG0000059		CF151_TRINITY_DN55493_c0_g1_i1	FraserFir100560, FraserFir109266, FraserFir118265, FraserFir118760, FraserFir120996, FraserFir122761, FraserFir127433, FraserFir133501, FraserFir141810, FraserFir142750, FraserFir153732, FraserFir161263, FraserFir170961, FraserFir175528, FraserFir177653, FraserFir177744, FraserFir184226, FraserFir185167, FraserFir187042, FraserFir188475, FraserFir201572, FraserFir203169, FraserFir208477, FraserFir20854, FraserFir22682, FraserFir28195, FraserFir31464, FraserFir76608
OG0000069		CF151_TRINITY_DN98687_c0_g1_i1, CF165_TRINITY_DN124553_c0_g1_i1, CF165_TRINITY_DN124553_c0_g1_i2, CF174_TRINITY_DN72783_c0_g1_i1	FraserFir105386, FraserFir106180, FraserFir109777, FraserFir109881, FraserFir133269, FraserFir137834, FraserFir138648, FraserFir139647, FraserFir142636, FraserFir147512, FraserFir148404, FraserFir150025, FraserFir154589, FraserFir158393, FraserFir160797, FraserFir162131, FraserFir187023, FraserFir191966, FraserFir196394, FraserFir33568, FraserFir35558, FraserFir95207, FraserFir95770, FraserFir98960
OG0000070		CF151_TRINITY_DN68610_c0_g1_i1, CF196_TRINITY_DN138668_c0_g1_i1	FraserFir100275, FraserFir101716, FraserFir101752, FraserFir109424, FraserFir117622, FraserFir194519, FraserFir65662, FraserFir69016, FraserFir71504, FraserFir72220, FraserFir80953, FraserFir82319, FraserFir84540, FraserFir84854, FraserFir84966, FraserFir87092, FraserFir87219, FraserFir87614, FraserFir89226, FraserFir90495, FraserFir91244, FraserFir91712, FraserFir91950, FraserFir92444, FraserFir93207, FraserFir96705
OG0000071		CF168_TRINITY_DN105594_c0_g1_i1	FraserFir121806, FraserFir132050, FraserFir136781, FraserFir138026, FraserFir140936, FraserFir144589, FraserFir147193, FraserFir147799, FraserFir148043, FraserFir148632, FraserFir150748, FraserFir160799, FraserFir162118, FraserFir165110, FraserFir166418, FraserFir168350, FraserFir173323, FraserFir179694, FraserFir181993, FraserFir185770, FraserFir186751, FraserFir190184, FraserFir196482, FraserFir196686, FraserFir198806, FraserFir199444, FraserFir207503
OG0000092		CF169_TRINITY_DN68639_c0_g1_i1, CF197_TRINITY_DN151623_c0_g1_i1	FraserFir112195, FraserFir133453, FraserFir141164, FraserFir151950, FraserFir161339, FraserFir165923, FraserFir169113, FraserFir170438, FraserFir171591, FraserFir172651, FraserFir177090, FraserFir177142, FraserFir177904, FraserFir181220, FraserFir182340, FraserFir183069, FraserFir184352, FraserFir185760, FraserFir189237, FraserFir192078, FraserFir194156, FraserFir201359, FraserFir202480, FraserFir204030
OG0000108		CF165_TRINITY_DN132818_c0_g1_i1	FraserFir101358, FraserFir106854, FraserFir113838, FraserFir115956, FraserFir116024, FraserFir123984, FraserFir126403, FraserFir132723, FraserFir142504, FraserFir147944, FraserFir164952, FraserFir167024, FraserFir170299, FraserFir172954, FraserFir178720, FraserFir178721, FraserFir179274, FraserFir183979, FraserFir185304, FraserFir187921, FraserFir188499, FraserFir198903, FraserFir199878, FraserFir205845
OG0000109		CF172_TRINITY_DN127581_c5_g2_i6	FraserFir114801, FraserFir115746, FraserFir123694, FraserFir124180, FraserFir131759, FraserFir132427, FraserFir133135, FraserFir141890, FraserFir144117, FraserFir152614, FraserFir153701, FraserFir166644, FraserFir170093, FraserFir170096, FraserFir174299, FraserFir194643, FraserFir205451, FraserFir209451, FraserFir69892, FraserFir73546, FraserFir81001, FraserFir82316, FraserFir89774, FraserFir97920
OG0000133		CF161_TRINITY_DN88151_c0_g1_i1, CF170_TRINITY_DN39948_c0_g1_i1, CF170_TRINITY_DN53215_c0_g1_i1, CF170_TRINITY_DN53215_c1_g1_i1, CF196_TRINITY_DN113317_c0_g1_i1	FraserFir101522, FraserFir116859, FraserFir116880, FraserFir122041, FraserFir129128, FraserFir138567, FraserFir139774, FraserFir142856, FraserFir146372, FraserFir156826, FraserFir177727, FraserFir185489, FraserFir196761, FraserFir197597, FraserFir50285, FraserFir57305, FraserFir64671, FraserFir68383, FraserFir86707
OG0000134		CF191_TRINITY_DN118662_c0_g1_i1	FraserFir117957, FraserFir119410, FraserFir134118, FraserFir138155, FraserFir146936, FraserFir151608, FraserFir155551, FraserFir164589, FraserFir170230, FraserFir175037, FraserFir179516, FraserFir183556, FraserFir185504, FraserFir187733, FraserFir188157, FraserFir196589, FraserFir203517, FraserFir204598, FraserFir207716, FraserFir38638, FraserFir91143, FraserFir93968, FraserFir99598
OG0000153		CF153_TRINITY_DN113385_c0_g2_i1, CF153_TRINITY_DN113385_c1_g2_i2, CF169_TRINITY_DN74879_c0_g1_i3, CF190_TRINITY_DN105715_c0_g1_i1, CF196_TRINITY_DN129063_c0_g1_i1	FraserFir12460, FraserFir14589, FraserFir32382, FraserFir32736, FraserFir34001, FraserFir35207, FraserFir35608, FraserFir35726, FraserFir37323, FraserFir38191, FraserFir39320, FraserFir41372, FraserFir43145, FraserFir44560, FraserFir45489, FraserFir45608, FraserFir51941, FraserFir64678
